,Admin Institution,State,Total,Year
0,Deakin University,VIC,463652.0,2015
1,Sydney Local Health Network,NSW,419180.0,2015
2,James Cook University,QLD,419180.0,2015
3,University of Melbourne,VIC,419180.0,2015
4,University of Adelaide,SA,419180.0,2015
5,University of Western Sydney,NSW,419180.0,2015
6,University of New South Wales,NSW,463652.0,2015
7,University of Queensland,QLD,463652.0,2015
8,Monash University,VIC,419180.0,2015
9,Victor Chang Cardiac Research Institute,NSW,419180.0,2015
10,St Vincent's Institute of Medical Research,VIC,463652.0,2015
11,Monash University,VIC,463652.0,2015
12,University of Queensland,QLD,463652.0,2015
13,University of Sydney,NSW,463652.0,2015
14,Walter and Eliza Hall Institute,VIC,463652.0,2015
15,Griffith University,QLD,419180.0,2015
16,University of Melbourne,VIC,419180.0,2015
17,Walter and Eliza Hall Institute,VIC,463652.0,2015
18,University of Sydney,NSW,463652.0,2015
19,University of Queensland,QLD,419180.0,2015
20,University of Sydney,NSW,419180.0,2015
21,Monash University,VIC,419180.0,2015
22,University of Sydney,NSW,419180.0,2015
23,Deakin University,VIC,419180.0,2015
24,University of Queensland,QLD,419180.0,2015
25,Walter and Eliza Hall Institute,VIC,419180.0,2015
26,University of Melbourne,VIC,419180.0,2015
27,Deakin University,VIC,463652.0,2015
28,University of Queensland,QLD,419180.0,2015
29,University of Sydney,NSW,463652.0,2015
30,Murdoch Childrens Research Institute,VIC,419180.0,2015
31,University of Tasmania,TAS,463652.0,2015
32,University of New South Wales,NSW,419180.0,2015
33,Garvan Institute of Medical Research,NSW,419180.0,2015
34,University of Queensland,QLD,463652.0,2015
35,University of Melbourne,VIC,419180.0,2015
36,Murdoch Childrens Research Institute,VIC,419180.0,2015
37,Monash University,VIC,419180.0,2015
38,Baker IDI Heart and Diabetes Institute,VIC,419180.0,2015
39,Walter and Eliza Hall Institute,VIC,463652.0,2015
40,University of Technology Sydney,NSW,463652.0,2015
41,University of Melbourne,VIC,463652.0,2015
42,University of Newcastle,NSW,463652.0,2015
43,University of Sydney,NSW,419180.0,2015
44,University of Melbourne,VIC,463652.0,2015
45,University of Adelaide,SA,419180.0,2015
46,University of Sydney,NSW,463652.0,2015
47,University of Western Australia,WA,293426.0,2015
48,University of Western Australia,WA,293426.0,2015
49,Queensland Institute of Medical Research,QLD,463652.0,2015
50,University of Sydney,NSW,463652.0,2015
51,University of Melbourne,VIC,419180.0,2015
52,Queensland Institute of Medical Research,QLD,463652.0,2015
53,University of New South Wales,NSW,463652.0,2015
54,University of Sydney,NSW,463652.0,2015
55,Murdoch Childrens Research Institute,VIC,314644.0,2015
56,Monash University,VIC,344724.0,2015
57,University of Tasmania,TAS,314644.0,2015
58,University of Sydney,NSW,314644.0,2015
59,Monash University,VIC,490096.0,2015
60,University of Queensland,QLD,314644.0,2015
61,Centre for Eye Research Australia Ltd,VIC,366252.0,2015
62,Queensland University of Technology,QLD,314644.0,2015
63,University of South Australia,SA,314644.0,2015
64,University of Western Australia,WA,262250.8,2015
65,Menzies School of Health Research,NT,314644.0,2015
66,University of New South Wales,NSW,392052.0,2015
67,University of Western Australia,WA,187322.0,2015
68,University of Melbourne,VIC,187322.0,2015
69,University of Sydney,NSW,314644.0,2015
70,Central Queensland University,QLD,314644.0,2015
71,University of New South Wales,NSW,314644.0,2015
72,University of New South Wales,NSW,314644.0,2015
73,Australian National University,ACT,393972.0,2015
74,Walter and Eliza Hall Institute,VIC,354156.0,2015
75,University of Melbourne,VIC,370860.0,2015
76,Monash University,VIC,314644.0,2015
77,University of Queensland,QLD,314644.0,2015
78,Monash University,VIC,314644.0,2015
79,Monash University,VIC,470964.0,2015
80,Monash University,VIC,314644.0,2015
81,University of Melbourne,VIC,314644.0,2015
82,University of Queensland,QLD,314644.0,2015
83,Monash University,VIC,314644.0,2015
84,Walter and Eliza Hall Institute,VIC,433854.0,2015
85,Queensland Institute of Medical Research,QLD,314644.0,2015
86,University of Adelaide,SA,374676.0,2015
87,University of Melbourne,VIC,187322.0,2015
88,University of Queensland,QLD,344644.0,2015
89,University of Queensland,QLD,314644.0,2015
90,Centre for Eye Research Australia Ltd,VIC,187322.0,2015
91,University of New South Wales,NSW,314644.0,2015
92,Monash University,VIC,314644.0,2015
