,type_cat,Year,Broad Research Area,FOR Category,Field of Research,Res KW1,Res KW2,Res KW3,Res KW4,Res KW5,code,parent_field_code,parent_field_label
0,2,2015,Public Health,NUTRITION AND DIETICS,Nutrition and Dietetics not elsewhere classified,nutrition,dietary intake,health behaviours,food,epidemiology,111199.0,11.0,MEDICAL AND HEALTH SCIENCES
1,2,2015,Basic Science,NEUROSCIENCES,Sensory Systems,vestibular function,vestibular disease,reflexes,balance impairment,neurophysiology,110906.0,11.0,MEDICAL AND HEALTH SCIENCES
2,2,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,indigenous health,Aboriginal mental health,adolescent health,resilience,psychosocial factors,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
3,2,2015,Basic Science,IMMUNOLOGY,Cellular Immunology,cell biology,lymphocytes,cytotoxicity,cancer biology,inflammation,110704.0,11.0,MEDICAL AND HEALTH SCIENCES
4,2,2015,Basic Science,CLINICAL SCIENCES,Gastroenterology and Hepatology,irritable bowel syndrome (IBS),inflammatory bowel disease (IBD),immunology,sensory nerves,pain,110307.0,11.0,MEDICAL AND HEALTH SCIENCES
5,2,2015,Clinical Medicine and Science,CLINICAL SCIENCES,Physiotherapy,pain mechanisms,musculoskeletal disorders,cortical reorganisation,physiotherapy,chronic back pain,110317.0,11.0,MEDICAL AND HEALTH SCIENCES
6,2,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aged Health Care,falls prevention,health care delivery,healthy ageing,exercise,cognitive function,111702.0,11.0,MEDICAL AND HEALTH SCIENCES
7,2,2015,Public Health,PUBLIC HEALTH AND HEALTH SERVICES,Aboriginal and Torres Strait Islander Health,sexually-transmitted infections (STI),gonorrhoea,indigenous health,antibiotic resistance,molecular microbiology,111701.0,11.0,MEDICAL AND HEALTH SCIENCES
8,2,2015,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Basic Pharmacology,stroke outcome,host/pathogen interaction,bacterial infection,targeted therapy,sympathetic nervous system,111501.0,11.0,MEDICAL AND HEALTH SCIENCES
9,2,2015,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Bioinformatics,bioinformatics,epigenetics,genomics,systems biology,clinical genetics,60102.0,6.0,BIOLOGICAL SCIENCES
