,CIA_title,Year,level,type_cat,fwci_awarded,pubs_awarded
0,A/Pr,2015,2,2,1.886363636363636,108.0
1,Dr,2015,1,2,1.583333333333333,7.0
2,Dr,2015,1,2,1.583333333333333,15.0
3,Dr,2015,1,2,1.698888888888889,18.0
4,Dr,2015,1,2,,
5,Dr,2015,1,2,1.141,37.0
6,Dr,2015,1,2,2.806,85.0
7,A/Pr,2015,2,2,1.944545454545455,128.0
8,Dr,2015,1,2,3.96875,23.0
9,Dr,2015,1,2,,
10,Dr,2015,1,2,2.08,49.0
11,Dr,2015,1,2,,
12,A/Pr,2015,2,2,1.632727272727273,74.0
13,A/Pr,2015,2,2,4.178181818181819,93.0
14,Dr,2015,1,2,1.806,55.0
15,Dr,2015,1,2,1.37,22.0
16,Dr,2015,1,2,1.2,1.0
17,Dr,2015,1,2,3.912999999999999,33.0
18,A/Pr,2015,2,2,2.242,105.0
19,Dr,2015,1,2,0.7400000000000001,10.0
20,Dr,2015,1,2,1.234444444444444,35.0
21,Dr,2015,1,2,,
22,Dr,2015,1,2,2.114285714285714,61.0
23,Dr,2015,1,2,1.3725,87.0
24,Dr,2015,1,2,4.03,28.0
25,Dr,2015,1,2,,
26,Dr,2015,1,2,1.301818181818182,31.0
27,A/Pr,2015,2,2,3.226363636363637,102.0
28,Dr,2015,1,2,3.4375,31.0
29,A/Pr,2015,2,2,0.6781818181818181,57.0
30,Dr,2015,1,2,2.808888888888889,37.0
31,A/Pr,2015,2,2,,
32,Dr,2015,1,2,3.24,43.0
33,Dr,2015,1,2,,
34,A/Pr,2015,2,2,1.996363636363636,77.0
35,Dr,2015,1,2,1.958888888888889,68.0
36,Dr,2015,1,2,1.314444444444445,54.0
37,Dr,2015,1,2,0.866,7.0
38,Dr,2015,1,2,0.87375,29.0
39,Dr,2015,1,2,2.274444444444444,27.0
40,Dr,2015,1,2,,
41,A/Pr,2015,2,2,3.863636363636364,123.0
42,A/Pr,2015,2,2,3.275000000000001,52.0
43,Dr,2015,1,2,2.037272727272727,48.0
44,A/Pr,2015,2,2,16.729,107.0
45,Dr,2015,1,2,1.345454545454545,55.0
46,A/Pr,2015,2,2,,
47,Dr,2015,1,2,2.402,74.0
48,Dr,2015,1,2,1.35625,27.0
49,A/Pr,2015,2,2,3.388181818181818,174.0
50,A/Pr,2015,2,2,,
51,Dr,2015,1,2,6.458333333333333,81.0
52,Dr,2015,1,2,10.32,3.0
53,A/Pr,2015,2,2,2.39,109.0
54,A/Pr,2015,2,2,2.546363636363636,65.0
55,Dr,2015,1,1,1.597142857142857,39.0
56,Dr,2015,1,1,2.18,16.0
57,Dr,2015,1,1,0.802857142857143,11.0
58,Dr,2015,1,1,1.32,18.0
59,Dr,2015,1,1,,
60,Dr,2015,1,1,1.19875,13.0
61,Dr,2015,1,1,2.62,19.0
62,Dr,2015,1,1,0.16,2.0
63,Dr,2015,1,1,0.8833333333333334,14.0
64,Dr,2015,1,1,2.402,74.0
65,A/Pr,2015,2,1,1.3,23.0
66,Dr,2015,1,1,1.7,10.0
67,Dr,2015,1,1,0.68,1.0
68,Dr,2015,1,1,1.653333333333333,26.0
69,Dr,2015,1,1,1.894,17.0
70,Dr,2015,1,1,1.556666666666667,34.0
71,Dr,2015,1,1,1.59,19.0
72,Dr,2015,1,1,1.1225,29.0
73,Dr,2015,1,1,,
74,Dr,2015,1,1,1.671666666666667,8.0
75,Dr,2015,1,1,1.1025,10.0
76,Dr,2015,1,1,,
77,Mr,2015,0,1,2.665,41.0
78,Dr,2015,1,1,1.84,14.0
79,Dr,2015,1,1,0.9475,9.0
80,Dr,2015,1,1,1.365,11.0
81,Dr,2015,1,1,,
82,Dr,2015,1,1,8.15,1.0
83,Dr,2015,1,1,4.4,11.0
84,Dr,2015,1,1,2.826666666666667,7.0
85,Dr,2015,1,1,3.29,5.0
86,Dr,2015,1,1,5.053333333333334,16.0
87,A/Pr,2015,2,1,1.2675,29.0
88,Dr,2015,1,1,1.341666666666667,26.0
89,Dr,2015,1,1,,
90,Dr,2015,1,1,2.439090909090909,61.0
91,Dr,2015,1,1,1.94,21.0
92,Dr,2015,1,1,2.322857142857143,16.0
93,Dr,2015,1,1,1.764999999999999,87.0
94,Dr,2015,1,1,1.049,22.0
95,Dr,2015,1,1,6.193333333333334,19.0
96,Dr,2015,1,1,1.01,26.0
97,Dr,2015,1,1,0.9766666666666667,9.0
98,Dr,2015,1,1,1.432727272727273,48.0
99,Dr,2015,1,1,0.8150000000000001,6.0
100,Dr,2015,1,1,5.07,7.0
101,Dr,2015,1,1,1.393333333333333,15.0
102,Dr,2015,1,1,2.38,14.0
103,Dr,2015,1,1,1.247142857142857,21.0
104,Dr,2015,1,1,1.166,12.0
105,Dr,2015,1,1,,
106,Miss,2015,0,1,1.075,5.0
107,Dr,2015,1,1,1.85,8.0
108,Dr,2015,1,1,1.068571428571429,19.0
109,Dr,2015,1,1,,
110,Ms,2015,0,1,1.491666666666667,20.0
111,Dr,2015,1,1,2.038,15.0
112,Dr,2015,1,1,4.545000000000001,8.0
113,Dr,2015,1,1,2.474285714285714,19.0
114,Dr,2015,1,1,,
115,Dr,2015,1,1,,
116,Dr,2015,1,1,1.455,18.0
117,Dr,2015,1,1,0.634,7.0
118,Mr,2015,0,1,0.9866666666666667,7.0
119,Dr,2015,1,1,2.046666666666666,25.0
120,Dr,2015,1,1,,
121,A/Pr,2015,2,1,0.83,40.0
122,Dr,2015,1,1,1.241,62.0
123,Mrs,2015,0,1,0.8066666666666666,3.0
124,Dr,2015,1,1,,
125,Dr,2015,1,1,0.0,1.0
126,Dr,2015,1,1,2.195,113.0
127,Dr,2015,1,1,1.13,40.0
128,Miss,2015,0,1,1.5275,27.0
129,Dr,2015,1,1,,
130,Dr,2015,1,1,1.86625,27.0
131,Dr,2015,1,1,0.504,15.0
132,Dr,2015,1,1,2.365,13.0
133,Dr,2015,1,1,3.887142857142857,43.0
134,Dr,2015,1,1,,0.0
135,Dr,2015,1,1,0.785,12.0
136,Dr,2015,1,1,1.792857142857143,19.0
137,Dr,2015,1,1,1.313333333333333,11.0
138,Mr,2015,0,1,2.833333333333333,6.0
139,Ms,2015,0,1,,
140,Dr,2015,1,1,1.363333333333333,8.0
141,Dr,2015,1,1,1.58,9.0
142,Dr,2015,1,1,2.605,8.0
143,Dr,2015,1,1,,
144,Dr,2015,1,1,0.33,1.0
145,Dr,2015,1,1,3.9675,13.0
146,Dr,2015,1,1,1.255,8.0
147,Dr,2015,1,1,0.9950000000000001,8.0
148,Ms,2015,0,1,3.775714285714286,16.0
149,Dr,2015,1,1,2.782222222222222,31.0
150,Mr,2015,0,1,,
151,Dr,2015,1,1,1.268333333333333,20.0
152,Mr,2015,0,1,9.133333333333333,12.0
153,Dr,2015,1,1,,
154,Dr,2015,1,1,,0.0
155,Dr,2015,1,1,4.366666666666666,11.0
156,Mr,2015,0,1,1.155,8.0
157,Dr,2015,1,1,1.26,12.0
158,Dr,2015,1,1,1.1625,27.0
159,Dr,2015,1,1,0.244,19.0
160,Ms,2015,0,1,1.05,11.0
161,Dr,2015,1,1,2.054444444444445,62.0
162,Mrs,2015,0,1,1.838,13.0
163,Dr,2015,1,1,1.538,17.0
164,Dr,2015,1,1,0.8033333333333335,32.0
165,A/Pr,2015,2,1,0.13,3.0
166,A/Pr,2015,2,3,2.385,111.0
167,A/Pr,2015,2,3,1.967272727272728,33.0
168,Prof,2015,3,3,2.28,96.0
169,Prof,2015,3,3,,
170,A/Pr,2015,2,3,2.59090909090909,111.0
171,A/Pr,2015,2,3,2.007777777777778,46.0
172,Prof,2015,3,3,1.065,49.0
173,Prof,2015,3,3,1.828181818181818,177.0
174,Prof,2015,3,3,1.737272727272728,86.0
175,A/Pr,2015,2,3,1.508181818181818,57.0
176,A/Pr,2015,2,3,1.99,70.0
177,Prof,2015,3,3,,
178,A/Pr,2015,2,3,0.0,1.0
179,A/Pr,2015,2,3,2.789090909090909,71.0
180,A/Pr,2015,2,3,1.584545454545454,78.0
181,A/Pr,2015,2,3,1.535555555555556,20.0
182,A/Pr,2015,2,3,5.02,1.0
183,Dr,2015,1,3,1.9375,17.0
184,A/Pr,2015,2,3,3.863636363636364,123.0
185,A/Pr,2015,2,3,3.388181818181818,174.0
186,A/Pr,2015,2,3,0.537,35.0
187,A/Pr,2015,2,3,0.6781818181818181,57.0
188,A/Pr,2015,2,3,0.8639999999999999,152.0
189,Prof,2015,3,3,1.706363636363637,61.0
190,Prof,2015,3,3,1.533636363636363,69.0
191,Prof,2015,3,3,1.53,93.0
192,Prof,2015,3,3,2.047272727272727,162.0
193,A/Pr,2015,2,3,0.535,6.0
194,Prof,2015,3,3,1.782727272727273,208.0
195,Prof,2015,3,3,1.82,4.0
196,A/Pr,2015,2,3,1.49,70.0
197,A/Pr,2015,2,3,6.80090909090909,36.0
198,Prof,2015,3,3,2.491818181818182,170.0
199,A/Pr,2015,2,3,2.370000000000001,89.0
200,Prof,2015,3,3,6.180000000000001,239.0
201,Prof,2015,3,3,1.290909090909091,126.0
202,Prof,2015,3,3,2.70090909090909,67.0
203,Prof,2015,3,3,1.433333333333333,18.0
204,Prof,2015,3,3,1.678181818181818,250.0
205,Prof,2015,3,3,2.715454545454545,172.0
206,Prof,2015,3,3,2.491818181818182,283.0
207,Prof,2015,3,3,,
208,Prof,2015,3,3,1.627272727272727,96.0
209,Prof,2015,3,3,1.296363636363636,114.0
210,Prof,2015,3,3,1.766,48.0
211,A/Pr,2015,2,3,3.241818181818182,100.0
212,Prof,2015,3,3,42.51,89.0
213,Prof,2015,3,3,1.876363636363636,58.0
214,Prof,2015,3,3,2.320909090909091,178.0
